tweet_userId,track_title,count,count_mean,norm_count
10845582.0,Confidência--Falamansa,2,2.0,0.0
14099909.0,When I Was a Youngster--Rizzle Kicks,2,2.0,0.0
14382368.0,Worldwide Choppers--Yelawolf,2,2.0,0.0
14443016.0,Beautiful Things--Gungor,2,2.0,0.0
14443016.0,Without You--David Guetta,2,2.0,0.0
15060553.0,Smells Like Teen Spirit--Nirvana,2,2.0,0.0
15276542.0,Stay--U2,2,2.0,0.0
15529491.0,Don't Dream It's Over--Crowded House,2,2.0,0.0
15529491.0,Lips Like Sugar--Echo & The Bunnymen,2,2.0,0.0
15853161.0,American Boy--Estelle,2,2.0,0.0
16566714.0,Since U Been Gone--Kelly Clarkson,2,2.0,0.0
16566714.0,The Edge of Glory--Lady GaGa,2,2.0,0.0
17046724.0,The Storm--Doves,2,2.0,0.0
17291429.0,Ace Of Spades--Motorhead,2,2.1666666666666665,-0.16666666666666652
17291429.0,All Hope is Gone--Slipknot,3,2.1666666666666665,0.8333333333333335
17291429.0,Dead Memories--Slipknot,2,2.1666666666666665,-0.16666666666666652
17291429.0,Eyeless--Slipknot,2,2.1666666666666665,-0.16666666666666652
17291429.0,Snuff--Slipknot,2,2.1666666666666665,-0.16666666666666652
17291429.0,Spit it out--Slipknot,2,2.1666666666666665,-0.16666666666666652
17849022.0,Crack Music--Kanye,2,2.0,0.0
18234408.0,Addiction--Medina,2,2.0,0.0
18454072.0,Let It Be--Carol Woods,2,2.0,0.0
18724281.0,I Can't Dance--Genesis,2,2.0,0.0
19014415.0,We Run the Night--Pitbull,2,2.0,0.0
20210379.0,Paradise--Coldplay,2,2.0,0.0
20977218.0,Hope--Faith Evans,2,2.0,0.0
20977218.0,Twilight--Cover Drive,2,2.0,0.0
21408456.0,Talk That Talk--Rihanna,2,2.0,0.0
21647381.0,Deep--BLACKstreet,2,2.0,0.0
22459900.0,Let's Talk About It--White Denim,2,2.0,0.0
22599733.0,Unforgettable--Drake,2,2.0,0.0
22892355.0,The Master's Bedroom Is Worth Spending a Night In--Thee Oh Sees,2,2.0,0.0
23158547.0,All of the Lights--Kanye,2,2.0,0.0
23457856.0,Globetrotter--Wale,2,2.0,0.0
23573258.0,Day of the Locusts--Bob Dylan,2,2.0,0.0
23573258.0,If Dogs Run Free--Bob Dylan,2,2.0,0.0
23573258.0,If Not for You--Bob Dylan,2,2.0,0.0
23573258.0,New Morning--Bob Dylan,2,2.0,0.0
23573258.0,One More Weekend--Bob Dylan,2,2.0,0.0
23573258.0,Three Angels--Bob Dylan,2,2.0,0.0
23675597.0,Jerome--Gildas Loaëc,2,2.5,-0.5
23675597.0,My Door Is Always Open--Noah & The Whale,3,2.5,0.5
24131540.0,Hungry Like a Wolf--Duran Duran,2,2.0,0.0
24650207.0,El tiempo a solas--La Oreja de Van Gogh,2,2.0,0.0
24772321.0,Lullaby--Dixie Chicks,2,2.0,0.0
25850920.0,Tonight Tonight--Hot Chelle Rae,2,2.0,0.0
25953034.0,Strawberry Swing--Frank Ocean,2,2.0,0.0
26261595.0,Destiny--Pional,2,2.0,0.0
26432623.0,1999--Prince,2,2.650763358778626,-0.6507633587786259
26432623.0,2000 Miles--Pretenders,5,2.650763358778626,2.349236641221374
26432623.0,6th Floor--Spirit of the West,2,2.650763358778626,-0.6507633587786259
26432623.0,A Broken Wing--Martina McBride,3,2.650763358778626,0.3492366412213741
26432623.0,A Fine Day--McCartney,2,2.650763358778626,-0.6507633587786259
