tweet_tweet_id, tweet_userId, tweet_artistId, tweet_trackId, country, lang_en, lang_gb, lang_fr
1001, 701, 11, 110, England, 1, 0, 0  
1002, 701, 11, 111, England, 1, 0, 0
1003, 701, 11, 112, England, 1, 0, 0  
1004, 701, 11, 113, England, 1, 0, 0
1005, 701, 12, 120, England, 1, 0, 0  
1006, 701, 12, 121, England, 1, 0, 0
1007, 701, 12, 122, England, 1, 0, 0  
1008, 701, 12, 123, England, 1, 0, 0
1009, 701, 13, 130, England, 1, 0, 0  
1010, 701, 13, 131, England, 1, 0, 0
1011, 702, 11, 112, England, 1, 0, 0  
1012, 702, 11, 113, England, 1, 0, 0
1013, 702, 11, 114, England, 1, 0, 0  
1014, 702, 11, 115, England, 1, 0, 0
1015, 702, 12, 122, England, 1, 0, 0  
1016, 702, 12, 123, England, 1, 0, 0
1017, 702, 12, 126, England, 1, 0, 0  
1018, 702, 12, 127, England, 1, 0, 0
1019, 702, 13, 132, England, 1, 0, 0  
1020, 702, 13, 133, England, 1, 0, 0
