tweet_userId,track_title,count
10845582.0,Confidência,2
14099909.0,When I Was a Youngster,2
14382368.0,Worldwide Choppers,2
14443016.0,Beautiful Things,2
14443016.0,Without You,2
15060553.0,Smells Like Teen Spirit,2
15276542.0,Stay,2
15529491.0,Don't Dream It's Over,2
15529491.0,Lips Like Sugar,2
15853161.0,American Boy,2
16378395.0,Nothing Else Matters,2
16566714.0,Since U Been Gone,2
16566714.0,The Edge of Glory,2
17046724.0,The Storm,2
17291429.0,Ace Of Spades,2
17291429.0,All Hope is Gone,3
17291429.0,Dead Memories,2
17291429.0,Eyeless,2
17291429.0,Snuff,2
17291429.0,Spit it out,2
17849022.0,Crack Music,2
18234408.0,Addiction,2
18454072.0,Let It Be,2
18724281.0,I Can't Dance,2
19014415.0,We Run the Night,2
20210379.0,Paradise,2
20977218.0,Hope,2
20977218.0,Twilight,2
21408456.0,Talk That Talk,2
21647381.0,Deep,2
22459900.0,Let's Talk About It,2
22599733.0,Unforgettable,2
22892355.0,The Master's Bedroom Is Worth Spending a Night In,2
23158547.0,All of the Lights,2
23457856.0,Globetrotter,2
23573258.0,Day of the Locusts,2
23573258.0,If Dogs Run Free,2
23573258.0,If Not for You,2
23573258.0,New Morning,2
23573258.0,One More Weekend,2
23573258.0,The Ballad of Easy Rider,2
23573258.0,Three Angels,2
23675597.0,Jerome,2
23675597.0,My Door Is Always Open,3
24131540.0,Hungry Like a Wolf,2
24650207.0,El tiempo a solas,2
24772321.0,Lullaby,2
25850920.0,Tonight Tonight,2
25953034.0,Strawberry Swing,2
26261595.0,Destiny,2
26432623.0,1999,2
26432623.0,2000 Miles,6
26432623.0,6th Floor,2
26432623.0,A Broken Wing,3
26432623.0,A Fine Day,2
26432623.0,A Great Effect,2
26432623.0,A Poem on the Underground Wall,2
26432623.0,A Song for You,2
26432623.0,A Sort of Homecoming,2
26432623.0,A Strange Boy,2
26432623.0,Abracadabra,4
26432623.0,Africa,2
26432623.0,After Hours,3
26432623.0,Ain't Love a Bitch,2
26432623.0,Alive and Kicking,3
26432623.0,All I Want is You,3
26432623.0,All I Want to Do,2
26432623.0,All Revved Up with No Place to Go,2
26432623.0,All Right Now,2
26432623.0,All stood still,3
26432623.0,All the Things She Said,2
26432623.0,America,3
